Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Size
23-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
24-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
25-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
26-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
27-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
28-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
29-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
30-04-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
01-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
02-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
03-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
04-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
05-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
06-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
07-05-2020,Arunachal Pradesh,28.218,94.7278,1,0,1,0,0,0,83743
